Date,Open,High,Low,Close,Volume
11/7/2014,912.799988,912.799988,893.650024,899.450012,2257123
11/10/2014,899.5,908.349976,893,904.650024,1597439
11/11/2014,905.900024,917.299988,902.400024,907.900024,1478352
11/12/2014,911,919.900024,904.150024,911.75,2264666
11/13/2014,915.5,920,903.900024,915.950012,1847238
11/14/2014,918.200012,933,911.75,930.099976,2109514
11/17/2014,930,934,908,918.950012,3366021
11/18/2014,921,935,912,932.200012,2297278
11/19/2014,935.049988,937.700012,922.150024,926.549988,863712
11/20/2014,927.950012,927.950012,912.099976,918.200012,1192593
11/21/2014,921.200012,935,914.049988,932.849976,2205952
11/24/2014,932.349976,950,928.099976,945.200012,1829215
11/25/2014,943,958.799988,939,953.549988,3039127
11/26/2014,939.799988,959.900024,933.299988,951.299988,2244107
11/27/2014,950.599976,953.799988,943,948.150024,3302862
11/28/2014,948,965.900024,947,957.150024,2312965
12/1/2014,958.299988,962.450012,948.200012,950,1847282
12/2/2014,941.75,949.599976,939.200012,943.299988,1129389
12/3/2014,942,944.049988,932,933.099976,1665296
12/4/2014,940,944.25,932,941.400024,1709776
12/5/2014,941,944.400024,935.700012,942.75,1018545
12/8/2014,945,945,925,927.150024,1014282
12/9/2014,925.049988,935,925.049988,926.75,1218336
12/10/2014,926.099976,935,925.299988,931.400024,1391358
12/11/2014,929.900024,935.75,925,933.599976,1204711
12/12/2014,933,936.200012,929,931.5,1154207
12/15/2014,930,944.299988,928,941.5,1659657
12/16/2014,937.549988,942,917,925.75,1247489
12/17/2014,926,932.5,916,921.849976,1766004
12/18/2014,932.599976,936.5,922.049988,934.049988,1623457
12/19/2014,945.049988,949,932.5,941.450012,1528527
12/22/2014,954,966.099976,942.5,963.700012,2073903
12/23/2014,959.700012,973.950012,955.349976,959.75,1886020
12/24/2014,957.900024,964.799988,941.099976,945.25,4166203
12/26/2014,945.25,952.950012,942.549988,948.650024,841620
12/29/2014,950.099976,956,948.299988,951.700012,903700
12/30/2014,950,959.599976,942.75,956.450012,1420300
12/31/2014,956,957.299988,949.75,951.599976,1248132
1/1/2015,951,954.400024,945.049988,952.049988,886235
1/2/2015,950.400024,969.299988,950.400024,965.299988,1475096
1/5/2015,970,970.549988,955.099976,957.150024,1199000
1/6/2015,954,956.549988,937.549988,942.25,2054920
1/7/2015,939.700012,951.349976,936.25,945,1436528
1/8/2015,954.25,968.950012,948.200012,964.849976,2381456
1/9/2015,972.900024,980,966.599976,975.650024,2246296
1/12/2015,969.400024,974.400024,964.5,967.049988,1031603
1/13/2015,968.950012,971.950012,955.700012,963.349976,1457087
1/14/2015,960.049988,974.650024,959.700012,963.900024,921308
1/15/2015,990,998.200012,970.75,993.150024,2849619
1/16/2015,1002.200012,1014.900024,998.549988,1001.349976,1955327
1/19/2015,1013.25,1020,1002.950012,1004.549988,1059873
1/20/2015,1010,1027,1002,1020.950012,2126451
1/21/2015,1027.400024,1032.949951,1018.349976,1019.950012,1685153
1/22/2015,1025,1032.5,1018.549988,1021.25,1617670
1/23/2015,1030,1048,1024.400024,1042.800049,2496978
1/27/2015,1042.800049,1077.75,1040.900024,1074.050049,2490600
1/28/2015,1070,1093.199951,1055,1058.349976,2841235
1/29/2015,1075,1100.599976,1061,1095,5141904
1/30/2015,1094.550049,1094.550049,1064.25,1077.349976,2642604
2/2/2015,1068.5,1093,1052.349976,1081.599976,1427588
2/3/2015,1078.5,1082.199951,1055.300049,1064.099976,2550172
2/4/2015,1063,1080.800049,1057.25,1067.699951,1549378
2/5/2015,1075,1092.800049,1070.349976,1076.5,2014787
2/6/2015,1077,1078.949951,1050.050049,1053.5,1725780
2/9/2015,1047,1051.75,1034.5,1040.099976,1307974
2/10/2015,1030,1062.300049,1030,1054.449951,2318938
2/11/2015,1058,1064.800049,1053,1058.400024,1040397
2/12/2015,1065.099976,1081.900024,1052.699951,1076,1381435
2/13/2015,1081.199951,1082,1063.599976,1065.800049,1928625
2/16/2015,1075.800049,1085,1062.5,1067.550049,1847179
2/18/2015,1067.550049,1082.949951,1057.050049,1074.800049,1345423
2/19/2015,1074,1084.900024,1063.800049,1079.800049,1126751
2/20/2015,1083,1089.900024,1068.5,1073.050049,1551506
2/23/2015,1077.099976,1081.550049,1062,1067.5,1395391
2/24/2015,1070.300049,1071,1057.099976,1067.650024,1461572
2/25/2015,1070,1074.800049,1050,1052.449951,1162131
2/26/2015,1053.650024,1056,1035.099976,1038.150024,3106736
2/27/2015,1045.449951,1058.550049,1045.449951,1054,2565446
3/2/2015,1080.349976,1099,1068,1082.550049,3596308
3/3/2015,1086.449951,1092,1077.050049,1083.349976,1507337
3/4/2015,1105,1109.300049,1060,1065.300049,3069406
3/5/2015,1065,1090,1062.5,1085.099976,2425613
3/9/2015,1085.099976,1085.099976,1056,1059,1438952
3/10/2015,1062,1062.25,1045,1052.550049,1283709
3/11/2015,1050.900024,1061.900024,1050,1056.449951,1366384
3/12/2015,1060.099976,1063.900024,1051.099976,1054.599976,1882709
3/13/2015,1060,1064,1034.599976,1042.650024,1356695
3/16/2015,1045,1057.900024,1042.5,1051.550049,1337193
3/17/2015,1060,1065.900024,1042.849976,1058.050049,1342326
3/18/2015,1060.150024,1071.900024,1053.199951,1063.550049,1287083
3/19/2015,1071,1073.800049,1048.699951,1052.199951,1343393
3/20/2015,1051,1059.5,1045.949951,1055.900024,1620809
3/23/2015,1055.949951,1059.400024,1046,1047.75,1361685
3/24/2015,1043.300049,1057,1035.449951,1037.949951,2243391
3/25/2015,1040.050049,1046.699951,1031.099976,1034.25,2652225
3/26/2015,1026.900024,1032.199951,1002.099976,1006.950012,8950155
3/27/2015,1014.950012,1023.549988,1008.099976,1014.650024,2710224
3/30/2015,1020,1039,1012.799988,1036.900024,1738786
3/31/2015,1039.900024,1039.900024,1014.849976,1022.700012,1490564
4/1/2015,1026.099976,1036.849976,1013,1033.25,961049
4/6/2015,1033.25,1036.849976,1019.799988,1031.949951,1787793
4/7/2015,1033.25,1038.199951,1023.650024,1032.75,1549268
4/8/2015,1040.050049,1042.449951,1030.050049,1035.550049,1026536
4/9/2015,1038.25,1059,1030,1056.099976,1750696
4/10/2015,1053,1053,1034.849976,1042.650024,1529831
4/13/2015,1040,1046.300049,1034.800049,1038.800049,1140809
4/15/2015,1038.800049,1048.699951,1025.199951,1031.650024,1223499
4/16/2015,1028,1033.550049,1018,1029.650024,1402530
4/17/2015,1025.099976,1027.849976,1016.049988,1018.25,1012253
4/20/2015,1020,1025,1002.599976,1005.099976,1297220
4/21/2015,1005,1014.400024,995.599976,1003,1627686
4/22/2015,1006.5,1021,993.5,1013.099976,1691484
4/23/2015,1020.049988,1024.199951,1006.099976,1013.5,2406957
4/24/2015,1018.900024,1019,1000.349976,1006.450012,1801311
4/27/2015,1006.950012,1012.5,996,1005.450012,1842676
4/28/2015,999.549988,1011.450012,990.099976,1004.549988,1985527
4/29/2015,1004,1009.5,988,993.150024,1965891
4/30/2015,991,995,979.049988,988.799988,3785921
5/4/2015,988.799988,1009.5,988.799988,1000.950012,785362
